pix_x,pix_y,real_x,real_y,goal_x,goal_y,width,height,stadium_x,stadium_y
2100,304,0,0,,,2560,1440,32,15.2
1892,192,0,2.6,,,,,,
2319,434,0,-2.6,,,,,,
2154,123,16,7.6,,,,,,
1536,36,0,7.6,,,,,,
104,148,-16,7.6,,,,,,
122,420,-16,1.5,,,,,,
177,704,-16,-1.5,,,,,,
1578,315,-7,0,,,,,,
2343,309,7,0,,,,,,
2431,275,16,1.5,,,,,,
