pix_x,pix_y,real_x,real_y,goal_x,goal_y,width,height,stadium_x,stadium_y
1983,300,0,0,2290,622,2560,1440,32,15.2
2224,234,0,-7,2380,630,,,,
1769,221,0,-2.6,2355,302,,,,
1460,447,7,0,2307,5,,,,
1384,122,0,-7.6,2197,2,,,,
3,567,16,-6.4,2257,167,,,,
100,789,16,-1.5,,,,,,
210,1083,16,1.5,,,,,,
2224,392,0,2.6,,,,,,
2004,67,-16,-7.6,,,,,,
2453,226,-16,1.5,,,,,,
