pix_x,pix_y,real_x,real_y,goal_x,goal_y,width,height,stadium_x,stadium_y
100,100,200,200,916,249,1024,576,,
101,101,201,201,952,252,,,,
102,102,202,202,942,121,,,,
103,103,203,203,923,2,,,,
104,104,204,204,879,1,,,,
,,,,903,67,,,,
