pix_x,pix_y,real_x,real_y,goal_x,goal_y,width,height,stadium_x,stadium_y
237,330,-16,7.6,2290,622,2560,1440,32,15.2
185,375,-16,6.4,2380,630,,,,
517,383,0,2.6,2355,302,,,,
94,573,-7,0,2307.5,5,,,,
338,535,0,0,2197.5,2,,,,
155,716,0,-2.6,2257.5,167,,,,
825,148,0,7.6,,,,,,
1369,477,0,10.3,,,,,,
2299,41,16,6.4,,,,,,
2303,307,16,1.5,,,,,,
2304,631,16,-1.5,,,,,,
