dataA,dataB,dataC
1,2,0,1,0,-6805,-765
1,2,0,1,0,-7667,1523
1,2,0,2,0,1914,1675
1,2,0,2,0,13959,375
2,2,0,1,0,-6706,-808
2,2,0,1,0,-7515,1465
2,2,0,2,0,1889,1696
2,2,0,2,0,13959,375
3,2,0,1,0,-7495,1515
3,2,0,2,0,2025,1648
3,2,0,2,0,13959,375
4,2,0,1,0,-6785,-810
4,2,0,1,0,-7517,1566
4,2,0,2,0,2335,1553
4,2,0,2,0,13959,375
5,2,0,1,0,-6706,-808
5,2,0,0,0,-15982,3034
5,2,0,1,0,-7388,1559
5,2,0,2,0,2439,1545
5,2,0,2,0,13959,375
6,2,0,1,0,-6835,-788
6,2,0,1,0,-7411,1611
6,2,0,2,0,2556,1590
6,2,0,2,0,13959,375
7,2,0,1,0,-6914,-790
7,2,0,1,0,-7551,1644
7,2,0,2,0,2610,1639
7,2,0,0,32,7949,690
7,2,0,2,0,13963,374
8,2,0,1,0,-6501,-826
8,2,0,0,0,-7497,1615
8,2,0,2,0,2969,1489
8,2,0,0,32,7949,690
8,2,0,2,0,13959,375
9,2,0,1,0,-6628,-806
9,2,0,0,0,-7508,1641
9,2,0,2,0,3031,1467
9,2,0,0,32,7949,690
9,2,0,2,0,13959,375
10,2,0,1,0,-6677,-785
10,2,0,0,0,-7574,1695
10,2,0,2,0,2847,1673
10,2,0,2,0,13963,374
11,2,0,0,0,-10492,-460
11,2,0,1,0,-6638,-784
11,2,0,1,0,-7176,1549
11,2,0,2,0,2732,1789
11,2,0,0,32,7949,690
11,2,0,2,0,13962,366
12,2,0,0,0,-10882,-308
12,2,0,1,0,-6677,-785
12,2,0,0,0,-7198,1600
12,2,0,2,0,2929,1649
12,2,0,0,32,7949,690
12,2,0,2,0,13962,366
13,2,0,0,0,-10393,-459
13,2,0,1,0,-6550,-804
13,2,0,0,0,-15501,2901
13,2,0,1,0,-7072,1593
13,2,0,2,0,2635,1905
13,2,0,0,32,7949,690
13,2,0,2,0,13962,366
14,2,0,0,0,-10442,-459
14,2,0,1,0,-6540,-827
14,2,0,0,0,-15750,3082
14,2,0,1,0,-7502,1818
14,2,0,2,0,2786,1838
14,2,0,0,32,7949,690
14,2,0,2,0,13966,366
15,2,0,0,0,-10189,-559
15,2,0,1,0,-6904,-812
15,2,0,0,0,-15522,3031
15,2,0,1,0,-7556,1847
15,2,0,2,0,2758,1894
15,2,0,0,32,7949,690
15,2,0,2,0,13966,366
16,2,0,0,0,-11030,-230
16,2,0,1,0,-6756,-786
16,2,0,0,0,-15386,3021
16,2,0,1,0,-7611,1876
16,2,0,1,0,2715,1916
16,2,0,0,32,7949,690
16,2,0,2,0,13962,366
17,2,0,0,0,-10780,-307
17,2,0,1,0,-6628,-806
17,2,0,0,0,-15208,2943
17,2,0,1,0,-7623,1902
17,2,0,2,0,2551,2076
17,2,0,0,32,7949,690
17,2,0,2,0,13962,366
18,2,0,1,0,-6443,-779
18,2,0,0,0,-15749,3179
18,2,0,1,0,-7623,1902
18,2,0,2,0,2124,2416
18,2,0,0,32,7949,690
18,2,0,2,0,13965,358
19,2,0,0,0,-10422,-408
19,2,0,1,0,-6443,-779
19,2,0,0,0,-15932,3358
19,2,0,0,0,-7547,1923
19,2,0,2,0,2208,2425
19,2,0,2,0,13965,358
20,2,0,1,0,-6619,-738
20,2,0,1,0,-7658,1981
20,2,0,2,0,2181,2466
20,2,0,2,0,13965,358
21,2,0,0,0,-11668,144
21,2,0,1,0,-6570,-760
21,2,0,1,0,-7625,2004
21,2,0,2,0,2343,2373
21,2,0,0,32,7949,690
21,2,0,2,0,13965,358
22,2,0,0,0,-12004,255
22,2,0,1,0,-6395,-801
22,2,0,1,0,-7561,2051
22,2,0,2,0,2425,2382
22,2,0,0,32,7949,690
22,2,0,2,0,13965,358
23,2,0,0,0,-12658,513
23,2,0,1,0,-6648,-761
23,2,0,1,0,-7529,2075
23,2,0,2,0,2404,2534
23,2,0,0,32,7949,690
23,2,0,2,0,13974,357
24,2,0,0,0,-12510,455
24,2,0,1,0,-6213,-863
24,2,0,1,0,-7291,2008
24,2,0,2,0,2658,2504
24,2,0,0,32,7949,690
24,2,0,2,0,13974,357
25,2,0,0,0,-13383,755
25,2,0,1,0,-6128,-883
25,2,0,1,0,-7324,2087
25,2,0,2,0,2828,2447
25,2,0,0,32,7949,690
25,2,0,2,0,13969,358
26,2,0,0,0,-11142,-125
26,2,0,1,0,-5930,-900
26,2,0,0,0,-15768,3509
26,2,0,1,0,-7282,2084
26,2,0,2,0,3016,2389
26,2,0,0,32,7949,690
26,2,0,2,0,13969,358
27,2,0,1,0,-6618,-828
27,2,0,0,0,-16691,3895
27,2,0,1,0,-7465,2122
27,2,0,2,0,3054,2403
27,2,0,0,32,7949,690
27,2,0,2,0,13969,358
28,2,0,0,0,-10190,-380
28,2,0,1,0,-6251,-864
28,2,0,0,0,-15744,3572
28,2,0,0,0,-7488,2175
28,2,0,2,0,3094,2398
28,2,0,0,32,7949,690
28,2,0,2,0,13969,358
