video,result,start time,end time,process time,video_length
06_origin04_goal2.avi,True,1673783610.6857624,1673783613.5356877,2.8499252796173096,10.0
06_origin04_goal3.avi,True,1673783613.5356877,1673783616.3398602,2.8041725158691406,10.0
06_origin04_goal5.avi,True,1673783616.3398602,1673783619.4332812,3.09342098236084,11.0
06_origin06_goal0.avi,True,1673783619.4332812,1673783622.5713065,3.1380252838134766,10.4
06_origin07_goal0.avi,True,1673783622.5713065,1673783625.7440443,3.1727378368377686,10.32
06_origin07_goal1.avi,True,1673783625.7440443,1673783628.891393,3.147348642349243,10.4
06_origin11_clip_0.avi,False,1673783628.891393,1673783632.093117,3.201724052429199,11.0
06_origin11_clip_1.avi,False,1673783632.093117,1673783635.2922187,3.199101686477661,11.0
06_origin11_clip_2.avi,False,1673783635.2922187,1673783638.4647627,3.172544002532959,11.0
06_origin11_clip_3.avi,False,1673783638.4647627,1673783641.3929276,2.9281649589538574,10.0
06_origin11_clip_4.avi,True,1673783641.3929276,1673783644.603229,3.210301399230957,11.0
06_origin11_clip_5.avi,False,1673783644.603229,1673783647.801365,3.1981358528137207,11.0
06_origin11_clip_6.avi,False,1673783647.801365,1673783650.7000365,2.8986716270446777,10.0
06_origin11_clip_7.avi,False,1673783650.7000365,1673783653.892497,3.192460536956787,11.0
06_origin11_clip_8.avi,False,1673783653.892497,1673783656.816843,2.9243459701538086,10.0
06_origin11_clip_9.avi,False,1673783656.816843,1673783659.7221577,2.9053146839141846,10.0
06_origin11_goal3.avi,True,1673783659.7221577,1673783662.6605544,2.938396692276001,10.0
06_origin11_goal5.avi,True,1673783662.6605544,1673783665.858894,3.1983397006988525,11.0
