frame,camnum,id,team,cls,x,y
1,4,0,2,0,607,719
1,4,0,0,32,1461,460
1,4,0,2,0,1906,384
1,4,0,0,0,2008,132
1,4,0,0,0,2156,239
1,4,0,1,0,2316,291
1,4,0,0,0,2436,234
1,4,0,0,0,2534,267
2,4,0,2,0,607,719
2,4,0,0,32,1461,460
2,4,0,2,0,1910,388
2,4,0,0,0,2010,132
2,4,0,1,0,2156,240
2,4,0,1,0,2319,291
2,4,0,0,0,2438,235
2,4,0,0,0,2534,272
3,4,0,2,0,607,719
3,4,0,0,32,1461,460
3,4,0,2,0,1918,395
3,4,0,0,0,2010,132
3,4,0,1,0,2156,239
3,4,0,0,0,2202,167
3,4,0,1,0,2323,295
3,4,0,0,0,2442,233
3,4,0,0,0,2537,270
4,4,0,2,0,607,719
4,4,0,0,32,1461,460
4,4,0,2,0,1924,394
4,4,0,0,0,2010,133
4,4,0,1,0,2156,242
4,4,0,0,0,2185,239
4,4,0,0,0,2204,175
4,4,0,0,0,2252,186
4,4,0,1,0,2324,298
4,4,0,0,0,2442,239
4,4,0,0,0,2538,268
5,4,0,2,0,607,719
5,4,0,0,32,1461,460
5,4,0,2,0,1926,399
5,4,0,0,0,2014,131
5,4,0,1,0,2160,242
5,4,0,0,0,2206,177
5,4,0,0,0,2256,192
5,4,0,1,0,2325,300
5,4,0,0,0,2448,238
5,4,0,0,0,2539,267
6,4,0,2,0,607,719
6,4,0,0,32,1461,460
6,4,0,2,0,1930,399
6,4,0,0,0,2013,132
6,4,0,1,0,2160,241
6,4,0,0,0,2260,176
6,4,0,0,0,2326,302
6,4,0,0,0,2450,236
6,4,0,0,0,2540,266
7,4,0,2,0,607,719
7,4,0,0,32,1461,460
7,4,0,2,0,1934,405
7,4,0,0,0,2013,133
7,4,0,1,0,2160,241
7,4,0,0,0,2263,167
7,4,0,0,0,2329,303
7,4,0,0,0,2451,240
7,4,0,0,0,2540,268
8,4,0,2,0,607,719
8,4,0,0,32,1461,460
8,4,0,2,0,1936,407
8,4,0,0,0,2016,134
8,4,0,1,0,2163,240
8,4,0,0,0,2214,161
8,4,0,0,0,2267,159
8,4,0,0,0,2329,303
8,4,0,0,0,2452,240
8,4,0,0,0,2542,270
9,4,0,2,0,607,719
9,4,0,0,32,1461,460
9,4,0,2,0,1938,412
9,4,0,0,0,2014,136
9,4,0,1,0,2162,241
9,4,0,0,0,2218,171
9,4,0,0,0,2277,187
9,4,0,0,0,2330,304
9,4,0,0,0,2454,240
9,4,0,0,0,2542,266
10,4,0,2,0,607,719
10,4,0,0,32,1461,460
10,4,0,2,0,1940,413
10,4,0,0,0,2014,135
10,4,0,0,0,2162,241
10,4,0,0,0,2221,167
10,4,0,0,0,2280,183
10,4,0,0,0,2332,304
10,4,0,0,0,2455,241
10,4,0,0,0,2544,269
11,4,0,2,0,607,719
11,4,0,0,32,1461,460
11,4,0,2,0,1946,413
11,4,0,0,0,2016,138
11,4,0,1,0,2162,239
11,4,0,0,0,2218,168
11,4,0,0,0,2282,176
11,4,0,0,0,2335,304
11,4,0,0,0,2455,242
11,4,0,0,0,2546,268
12,4,0,2,0,607,719
12,4,0,0,32,1461,460
12,4,0,2,0,1950,411
12,4,0,0,0,2014,135
12,4,0,1,0,2164,240
12,4,0,0,0,2219,163
12,4,0,0,0,2285,182
12,4,0,0,0,2340,302
12,4,0,0,0,2457,241
12,4,0,0,0,2546,271
13,4,0,2,0,607,719
13,4,0,0,32,1461,460
13,4,0,2,0,1956,413
13,4,0,0,0,2015,136
13,4,0,1,0,2162,240
13,4,0,0,0,2220,158
13,4,0,0,0,2290,182
13,4,0,0,0,2346,303
13,4,0,0,0,2458,239
13,4,0,0,0,2547,271
14,4,0,2,0,607,719
14,4,0,0,32,1461,460
14,4,0,1,0,1964,416
14,4,0,0,0,2016,138
14,4,0,1,0,2160,240
14,4,0,0,0,2224,148
14,4,0,0,0,2292,182
14,4,0,0,0,2348,304
14,4,0,0,0,2458,241
14,4,0,0,0,2548,272
15,4,0,2,0,608,719
15,4,0,0,32,1461,460
15,4,0,2,0,1976,419
15,4,0,0,0,2016,136
15,4,0,1,0,2162,243
15,4,0,0,0,2224,154
15,4,0,0,0,2294,182
15,4,0,1,0,2350,306
15,4,0,0,0,2462,241
16,4,0,2,0,607,719
16,4,0,0,32,1461,460
16,4,0,1,0,1984,418
16,4,0,0,0,2016,135
16,4,0,0,0,2162,243
16,4,0,0,0,2226,158
16,4,0,0,0,2296,185
16,4,0,1,0,2355,306
16,4,0,0,0,2466,244
17,4,0,2,0,607,719
17,4,0,0,32,1461,460
17,4,0,2,0,1986,416
17,4,0,0,0,2016,137
17,4,0,1,0,2160,243
17,4,0,0,0,2226,163
17,4,0,1,0,2359,305
17,4,0,0,0,2467,248
18,4,0,2,0,607,719
18,4,0,0,32,1461,460
18,4,0,2,0,1988,420
18,4,0,0,0,2016,138
18,4,0,1,0,2159,243
18,4,0,0,0,2227,163
18,4,0,0,0,2300,207
18,4,0,1,0,2362,309
18,4,0,0,0,2470,246
19,4,0,2,0,606,719
19,4,0,0,32,1461,460
19,4,0,2,0,1994,420
19,4,0,0,0,2017,138
19,4,0,1,0,2158,243
19,4,0,0,0,2228,160
19,4,0,0,0,2302,208
19,4,0,1,0,2364,313
19,4,0,0,0,2470,246
20,4,0,2,0,607,719
20,4,0,0,32,1461,460
20,4,0,1,0,1999,430
20,4,0,0,0,2018,138
20,4,0,1,0,2157,242
20,4,0,0,0,2228,158
20,4,0,0,0,2308,208
20,4,0,1,0,2368,314
20,4,0,0,0,2472,244
21,4,0,2,0,607,719
21,4,0,0,32,1461,460
21,4,0,2,0,1998,441
21,4,0,0,0,2018,136
21,4,0,1,0,2156,245
21,4,0,0,0,2228,162
21,4,0,0,0,2308,209
21,4,0,1,0,2367,316
21,4,0,0,0,2472,246
22,4,0,2,0,606,719
